CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
AGO,Angola,SSA,National,2018,HeadCount,EPL,1.9,0.4712,2.195249,0.3251228,2.308829,0.3481835,-0.1460772,-0.1230165
AGO,Angola,SSA,National,2018,HeadCount,LPL,3.2,0.6932878,3.642544,0.5416767,3.981504,0.5791931,-0.1516111,-0.1140947
AGO,Angola,SSA,National,2018,HeadCount,UPL,5.5,0.8703756,6.11676,0.7493774,5.939234,0.7368136,-0.1209982,-0.133562
ALB,Albania,ECA,National,2018,HeadCount,EPL,1.9,0.01423106,2.195249,0.01094077,2.308829,0.01382742,-0.00329029,-0.00040364
ALB,Albania,ECA,National,2018,HeadCount,LPL,3.2,0.08775227,3.642544,0.06765813,3.981504,0.09164436,-0.02009414,0.00389209
ALB,Albania,ECA,National,2018,HeadCount,UPL,5.5,0.3521727,6.11676,0.2926842,5.939234,0.2769585,-0.0594885,-0.0752142
ARE,United Arab Emirates,OHI,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
ARE,United Arab Emirates,OHI,National,2018,HeadCount,LPL,3.2,0,3.642544,0,3.981504,0,0,0
ARE,United Arab Emirates,OHI,National,2018,HeadCount,UPL,5.5,0,6.11676,0,5.939234,0,0,0
ARG,Argentina,LAC,National,2018,HeadCount,EPL,1.9,0.01007636,2.195249,0.09811694,2.308829,0.1078944,0.08804058,0.09781804
ARG,Argentina,LAC,National,2018,HeadCount,LPL,3.2,0.03038254,3.642544,0.2403139,3.981504,0.2780675,0.20993136,0.24768496
ARG,Argentina,LAC,National,2018,HeadCount,UPL,5.5,0.09557091,6.11676,0.4705999,5.939234,0.4567742,0.37502899,0.36120329
ARM,Armenia,ECA,National,2018,HeadCount,EPL,1.9,0.02081727,2.195249,0.01452873,2.308829,0.01872671,-0.00628854,-0.00209056
ARM,Armenia,ECA,National,2018,HeadCount,LPL,3.2,0.1302014,3.642544,0.09399795,3.981504,0.1242031,-0.03620345,-0.0059983
ARM,Armenia,ECA,National,2018,HeadCount,UPL,5.5,0.5035146,6.11676,0.4008658,5.939234,0.3781105,-0.1026488,-0.1254041
AUS,Australia,OHI,National,2018,HeadCount,EPL,1.9,0.004984838,2.195249,0.004984838,2.308829,0.004984838,0,0
AUS,Australia,OHI,National,2018,HeadCount,LPL,3.2,0.007444149,3.642544,0.007444149,3.981504,0.007444149,0,0
AUS,Australia,OHI,National,2018,HeadCount,UPL,5.5,0.007444149,6.11676,0.007444149,5.939234,0.007444149,0,0
AUT,Austria,OHI,National,2018,HeadCount,EPL,1.9,0.003180896,2.195249,0.003180896,2.308829,0.003274168,0,9.32720000000002e-05
AUT,Austria,OHI,National,2018,HeadCount,LPL,3.2,0.003982924,3.642544,0.003982924,3.981504,0.00436399,0,0.000381066
AUT,Austria,OHI,National,2018,HeadCount,UPL,5.5,0.00682883,6.11676,0.00682883,5.939234,0.006358795,0,-0.000470035
AZE,Azerbaijan,ECA,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
AZE,Azerbaijan,ECA,National,2018,HeadCount,LPL,3.2,0,3.642544,0,3.981504,0,0,0
AZE,Azerbaijan,ECA,National,2018,HeadCount,UPL,5.5,8.66141e-05,6.11676,0.0008064227,5.939234,0.0004009374,0.0007198086,0.0003143233
BDI,Burundi,SSA,National,2018,HeadCount,EPL,1.9,0.7818653,2.195249,0.7389542,2.308829,0.7571235,-0.0429111,-0.0247418
BDI,Burundi,SSA,National,2018,HeadCount,LPL,3.2,0.9226947,3.642544,0.8990362,3.981504,0.9166838,-0.0236585,-0.00601089999999993
BDI,Burundi,SSA,National,2018,HeadCount,UPL,5.5,0.9771712,6.11676,0.9677397,5.939234,0.9652546,-0.00943150000000004,-0.0119166000000001
BEL,Belgium,OHI,National,2018,HeadCount,EPL,1.9,0.001314533,2.195249,0.001335979,2.308829,0.001517584,2.14459999999998e-05,0.000203051
BEL,Belgium,OHI,National,2018,HeadCount,LPL,3.2,0.002020924,3.642544,0.002020924,3.981504,0.002185893,0,0.000164969
BEL,Belgium,OHI,National,2018,HeadCount,UPL,5.5,0.00303386,6.11676,0.00303386,5.939234,0.00303386,0,0
BEN,Benin,SSA,National,2018,HeadCount,EPL,1.9,0.4512338,2.195249,0.4798664,2.308829,0.5078026,0.0286326,0.0565688
BEN,Benin,SSA,National,2018,HeadCount,LPL,3.2,0.7198444,3.642544,0.7413458,3.981504,0.7922064,0.0215014,0.0723619999999999
BEN,Benin,SSA,National,2018,HeadCount,UPL,5.5,0.8983982,6.11676,0.8998521,5.939234,0.8968153,0.00145390000000001,-0.00158290000000005
BFA,Burkina Faso,SSA,National,2018,HeadCount,EPL,1.9,0.3481708,2.195249,0.3219561,2.308829,0.3666403,-0.0262147,0.0184695
BFA,Burkina Faso,SSA,National,2018,HeadCount,LPL,3.2,0.7133407,3.642544,0.689855,3.981504,0.7349657,-0.0234857000000001,0.021625
BFA,Burkina Faso,SSA,National,2018,HeadCount,UPL,5.5,0.9044036,6.11676,0.8874157,5.939234,0.8797117,-0.0169878999999999,-0.0246919
BGD,Bangladesh,SAS,National,2018,HeadCount,EPL,1.9,0.0783727,2.195249,0.06145714,2.308829,0.07765858,-0.01691556,-0.000714119999999999
BGD,Bangladesh,SAS,National,2018,HeadCount,LPL,3.2,0.4048386,3.642544,0.3484447,3.981504,0.4229936,-0.0563939,0.018155
BGD,Bangladesh,SAS,National,2018,HeadCount,UPL,5.5,0.7795677,6.11676,0.7311929,5.939234,0.712141,-0.0483747999999999,-0.0674267
BGR,Bulgaria,ECA,National,2018,HeadCount,EPL,1.9,0.01328792,2.195249,0.01371766,2.308829,0.01577615,0.00042974,0.00248823
BGR,Bulgaria,ECA,National,2018,HeadCount,LPL,3.2,0.02903497,3.642544,0.0326467,3.981504,0.03841621,0.00361173,0.00938124
BGR,Bulgaria,ECA,National,2018,HeadCount,UPL,5.5,0.06791006,6.11676,0.07480939,5.939234,0.07024377,0.00689933000000001,0.00233371
BIH,Bosnia and Herzegovina,ECA,National,2018,HeadCount,EPL,1.9,0.0005898651,2.195249,0.0005898651,2.308829,0.0005898651,0,0
BIH,Bosnia and Herzegovina,ECA,National,2018,HeadCount,LPL,3.2,0.002420837,3.642544,0.003632492,3.981504,0.006088364,0.001211655,0.003667527
BIH,Bosnia and Herzegovina,ECA,National,2018,HeadCount,UPL,5.5,0.02182315,6.11676,0.02392813,5.939234,0.02182315,0.00210498,0
BLR,Belarus,ECA,National,2018,HeadCount,EPL,1.9,0,2.195249,0,2.308829,0,0,0
BLR,Belarus,ECA,National,2018,HeadCount,LPL,3.2,0.0002201219,3.642544,0.0006905377,3.981504,0.001481817,0.0004704158,0.0012616951
BLR,Belarus,ECA,National,2018,HeadCount,UPL,5.5,0.004409214,6.11676,0.01150619,5.939234,0.01074781,0.007096976,0.006338596
