year,P20
1981,1.02730979985253
1982,1.07811820642652
1983,1.12078622518619
1984,1.20893657281647
1985,1.24760175786529
1986,1.29405089349804
1987,1.32623792124926
1988,1.37892728301715
1989,1.27601671163572
1990,1.30885747328142
1991,1.30957123482011
1992,1.34290460767842
1993,1.35711567261975
1994,1.41139945859573
1995,1.46189916305111
1996,1.517109050608
1997,1.52077431007756
1998,1.49281372768574
1999,1.53308458038897
2000,1.5766295161043
2001,1.61127350027393
2002,1.64164047168251
2003,1.6837143274635
2004,1.75898686939179
2005,1.8535477334137
2006,1.88629428311415
2007,1.94833696694068
2008,1.97938888612277
2009,2.0324688143833
2010,2.1336321753772
2011,2.27081907466831
2012,2.36212957166791
2013,2.50586904299023
2014,2.59313395061605
2015,2.66311896062463
2016,2.74121081146521
2017,2.81337820483248
2018,2.88802816707467
2019,2.91866919263604
2020,2.83442543758535
2021,2.95444427342096
2022,3.04420657195497
2023,3.15709536479133
2024,3.24957762754412
2025,3.38730630190616
2026,3.50780871406596
