CountryCode,DisplayName,region,Level,ProjYear,PovertyLine,variable,value
AGO,Angola,SSA,National,1981,2.195249,HeadCount,0.1533456
AGO,Angola,SSA,National,1981,3.642544,HeadCount,0.2788326
AGO,Angola,SSA,National,1981,6.11676,HeadCount,0.4911829
AGO,Angola,SSA,National,1981,3.981504,HeadCount,0.3092863
AGO,Angola,SSA,National,1981,5.939234,HeadCount,0.4771856
AGO,Angola,SSA,National,1981,2.308829,HeadCount,0.1626989
AGO,Angola,SSA,National,1984,2.195249,HeadCount,0.1549257
AGO,Angola,SSA,National,1984,3.642544,HeadCount,0.2810331
AGO,Angola,SSA,National,1984,6.11676,HeadCount,0.4932987
AGO,Angola,SSA,National,1984,3.981504,HeadCount,0.310291
AGO,Angola,SSA,National,1984,5.939234,HeadCount,0.4806289
AGO,Angola,SSA,National,1984,2.308829,HeadCount,0.1640071
AGO,Angola,SSA,National,1987,2.195249,HeadCount,0.1552253
AGO,Angola,SSA,National,1987,3.642544,HeadCount,0.2823659
AGO,Angola,SSA,National,1987,6.11676,HeadCount,0.4944574
AGO,Angola,SSA,National,1987,3.981504,HeadCount,0.3115022
AGO,Angola,SSA,National,1987,5.939234,HeadCount,0.4818791
AGO,Angola,SSA,National,1987,2.308829,HeadCount,0.1645572
AGO,Angola,SSA,National,1990,2.195249,HeadCount,0.1679438
AGO,Angola,SSA,National,1990,3.642544,HeadCount,0.3088557
AGO,Angola,SSA,National,1990,6.11676,HeadCount,0.5333089
AGO,Angola,SSA,National,1990,3.981504,HeadCount,0.3402478
AGO,Angola,SSA,National,1990,5.939234,HeadCount,0.5195038
AGO,Angola,SSA,National,1990,2.308829,HeadCount,0.1792437
AGO,Angola,SSA,National,1993,2.195249,HeadCount,0.2803899
AGO,Angola,SSA,National,1993,3.642544,HeadCount,0.4876571
AGO,Angola,SSA,National,1993,6.11676,HeadCount,0.7160222
AGO,Angola,SSA,National,1993,3.981504,HeadCount,0.5299392
AGO,Angola,SSA,National,1993,5.939234,HeadCount,0.7036967
AGO,Angola,SSA,National,1993,2.308829,HeadCount,0.298388
AGO,Angola,SSA,National,1996,2.195249,HeadCount,0.2300058
AGO,Angola,SSA,National,1996,3.642544,HeadCount,0.4100528
AGO,Angola,SSA,National,1996,6.11676,HeadCount,0.6439492
AGO,Angola,SSA,National,1996,3.981504,HeadCount,0.4489181
AGO,Angola,SSA,National,1996,5.939234,HeadCount,0.6313263
AGO,Angola,SSA,National,1996,2.308829,HeadCount,0.2440652
AGO,Angola,SSA,National,1999,2.195249,HeadCount,0.2201779
AGO,Angola,SSA,National,1999,3.642544,HeadCount,0.3936346
AGO,Angola,SSA,National,1999,6.11676,HeadCount,0.6269813
AGO,Angola,SSA,National,1999,3.981504,HeadCount,0.427538
AGO,Angola,SSA,National,1999,5.939234,HeadCount,0.6148881
AGO,Angola,SSA,National,1999,2.308829,HeadCount,0.2320741
AGO,Angola,SSA,National,2002,2.195249,HeadCount,0.221171
AGO,Angola,SSA,National,2002,3.642544,HeadCount,0.3945079
AGO,Angola,SSA,National,2002,6.11676,HeadCount,0.6256166
AGO,Angola,SSA,National,2002,3.981504,HeadCount,0.4385349
AGO,Angola,SSA,National,2002,5.939234,HeadCount,0.612775
AGO,Angola,SSA,National,2002,2.308829,HeadCount,0.2374905
AGO,Angola,SSA,National,2005,2.195249,HeadCount,0.2030123
AGO,Angola,SSA,National,2005,3.642544,HeadCount,0.401762
AGO,Angola,SSA,National,2005,6.11676,HeadCount,0.6355145
AGO,Angola,SSA,National,2005,3.981504,HeadCount,0.441292
AGO,Angola,SSA,National,2005,5.939234,HeadCount,0.6226159
AGO,Angola,SSA,National,2005,2.308829,HeadCount,0.2210386
AGO,Angola,SSA,National,2008,2.195249,HeadCount,0.1462012
AGO,Angola,SSA,National,2008,3.642544,HeadCount,0.3589044
AGO,Angola,SSA,National,2008,6.11676,HeadCount,0.6195025
AGO,Angola,SSA,National,2008,3.981504,HeadCount,0.3987661
AGO,Angola,SSA,National,2008,5.939234,HeadCount,0.6008965
AGO,Angola,SSA,National,2008,2.308829,HeadCount,0.1570795
AGO,Angola,SSA,National,2010,2.195249,HeadCount,0.1686471
AGO,Angola,SSA,National,2010,3.642544,HeadCount,0.3901922
AGO,Angola,SSA,National,2010,6.11676,HeadCount,0.6475966
AGO,Angola,SSA,National,2010,3.981504,HeadCount,0.4294953
AGO,Angola,SSA,National,2010,5.939234,HeadCount,0.6330688
AGO,Angola,SSA,National,2010,2.308829,HeadCount,0.1823946
AGO,Angola,SSA,National,2011,2.195249,HeadCount,0.1804226
AGO,Angola,SSA,National,2011,3.642544,HeadCount,0.4005703
AGO,Angola,SSA,National,2011,6.11676,HeadCount,0.6532135
AGO,Angola,SSA,National,2011,3.981504,HeadCount,0.438844
AGO,Angola,SSA,National,2011,5.939234,HeadCount,0.6405979
AGO,Angola,SSA,National,2011,2.308829,HeadCount,0.195627
AGO,Angola,SSA,National,2012,2.195249,HeadCount,0.1894167
AGO,Angola,SSA,National,2012,3.642544,HeadCount,0.3983808
AGO,Angola,SSA,National,2012,6.11676,HeadCount,0.6452005
AGO,Angola,SSA,National,2012,3.981504,HeadCount,0.4411745
AGO,Angola,SSA,National,2012,5.939234,HeadCount,0.6324897
AGO,Angola,SSA,National,2012,2.308829,HeadCount,0.2037358
AGO,Angola,SSA,National,2013,2.195249,HeadCount,0.1997486
AGO,Angola,SSA,National,2013,3.642544,HeadCount,0.405367
AGO,Angola,SSA,National,2013,6.11676,HeadCount,0.6483744
AGO,Angola,SSA,National,2013,3.981504,HeadCount,0.4488278
AGO,Angola,SSA,National,2013,5.939234,HeadCount,0.635759
AGO,Angola,SSA,National,2013,2.308829,HeadCount,0.2145143
AGO,Angola,SSA,National,2015,2.195249,HeadCount,0.2314008
AGO,Angola,SSA,National,2015,3.642544,HeadCount,0.4361404
AGO,Angola,SSA,National,2015,6.11676,HeadCount,0.6701017
AGO,Angola,SSA,National,2015,3.981504,HeadCount,0.4777551
AGO,Angola,SSA,National,2015,5.939234,HeadCount,0.6584284
AGO,Angola,SSA,National,2015,2.308829,HeadCount,0.247229
AGO,Angola,SSA,National,2018,2.195249,HeadCount,0.3251228
AGO,Angola,SSA,National,2018,3.642544,HeadCount,0.5416767
AGO,Angola,SSA,National,2018,6.11676,HeadCount,0.7493774
AGO,Angola,SSA,National,2018,3.981504,HeadCount,0.5791931
AGO,Angola,SSA,National,2018,5.939234,HeadCount,0.7368136
AGO,Angola,SSA,National,2018,2.308829,HeadCount,0.3481835
AGO,Angola,SSA,National,2019,2.195249,HeadCount,0.3278443
AGO,Angola,SSA,National,2019,3.642544,HeadCount,0.5448021
AGO,Angola,SSA,National,2019,6.11676,HeadCount,0.7521688
AGO,Angola,SSA,National,2019,3.981504,HeadCount,0.5821703
AGO,Angola,SSA,National,2019,5.939234,HeadCount,0.7394381
AGO,Angola,SSA,National,2019,2.308829,HeadCount,0.3525136
AGO,Angola,SSA,National,2020,2.195249,HeadCount,0.3439232
AGO,Angola,SSA,National,2020,3.642544,HeadCount,0.5602061
AGO,Angola,SSA,National,2020,6.11676,HeadCount,0.7626718
AGO,Angola,SSA,National,2020,3.981504,HeadCount,0.5992956
AGO,Angola,SSA,National,2020,5.939234,HeadCount,0.7534769
AGO,Angola,SSA,National,2020,2.308829,HeadCount,0.3671912
AGO,Angola,SSA,National,2021,2.195249,HeadCount,0.3315857
AGO,Angola,SSA,National,2021,3.642544,HeadCount,0.548327
AGO,Angola,SSA,National,2021,6.11676,HeadCount,0.7537504
AGO,Angola,SSA,National,2021,3.981504,HeadCount,0.5858381
AGO,Angola,SSA,National,2021,5.939234,HeadCount,0.7430476
AGO,Angola,SSA,National,2021,2.308829,HeadCount,0.3555357
ALB,Albania,ECA,National,1981,2.195249,HeadCount,0.004645278
ALB,Albania,ECA,National,1981,3.642544,HeadCount,0.07205926
ALB,Albania,ECA,National,1981,6.11676,HeadCount,0.3479197
ALB,Albania,ECA,National,1981,3.981504,HeadCount,0.1053681
ALB,Albania,ECA,National,1981,5.939234,HeadCount,0.3281781
ALB,Albania,ECA,National,1981,2.308829,HeadCount,0.006899978
ALB,Albania,ECA,National,1984,2.195249,HeadCount,0.00534846
ALB,Albania,ECA,National,1984,3.642544,HeadCount,0.08261305
ALB,Albania,ECA,National,1984,6.11676,HeadCount,0.3751486
ALB,Albania,ECA,National,1984,3.981504,HeadCount,0.1148913
ALB,Albania,ECA,National,1984,5.939234,HeadCount,0.3555107
ALB,Albania,ECA,National,1984,2.308829,HeadCount,0.008623258
ALB,Albania,ECA,National,1987,2.195249,HeadCount,0.005067833
ALB,Albania,ECA,National,1987,3.642544,HeadCount,0.0782996
ALB,Albania,ECA,National,1987,6.11676,HeadCount,0.373002
ALB,Albania,ECA,National,1987,3.981504,HeadCount,0.1148913
ALB,Albania,ECA,National,1987,5.939234,HeadCount,0.3509824
ALB,Albania,ECA,National,1987,2.308829,HeadCount,0.008623258
ALB,Albania,ECA,National,1990,2.195249,HeadCount,0.009605859
ALB,Albania,ECA,National,1990,3.642544,HeadCount,0.1128205
ALB,Albania,ECA,National,1990,6.11676,HeadCount,0.4308331
ALB,Albania,ECA,National,1990,3.981504,HeadCount,0.1532365
ALB,Albania,ECA,National,1990,5.939234,HeadCount,0.4133064
ALB,Albania,ECA,National,1990,2.308829,HeadCount,0.01278026
ALB,Albania,ECA,National,1993,2.195249,HeadCount,0.04572057
ALB,Albania,ECA,National,1993,3.642544,HeadCount,0.263168
ALB,Albania,ECA,National,1993,6.11676,HeadCount,0.6608532
ALB,Albania,ECA,National,1993,3.981504,HeadCount,0.3336447
ALB,Albania,ECA,National,1993,5.939234,HeadCount,0.6333787
ALB,Albania,ECA,National,1993,2.308829,HeadCount,0.05485025
ALB,Albania,ECA,National,1996,2.195249,HeadCount,0.00920669
ALB,Albania,ECA,National,1996,3.642544,HeadCount,0.1084131
ALB,Albania,ECA,National,1996,6.11676,HeadCount,0.4185169
