CountryCode,DisplayName,region,Level,ProjYear,EPL,LPL,UPL,p20,p80
AFG,Afghanistan,SAS,National,2008,0.726527872037943,0.932174347080639,0.984165624443424,0.756540332873883,0.998849350013904
AFG,Afghanistan,SAS,National,2010,0.555626848640305,0.868385499505947,0.970544993352662,0.644209730867056,0.998241713474819
AFG,Afghanistan,SAS,National,2011,0.515848945352478,0.848405509370098,0.96614378935859,0.653664590087188,0.998108197657596
AFG,Afghanistan,SAS,National,2012,0.42960695177502,0.794851989420503,0.953705715855629,0.594814370725696,0.997700070027969
AFG,Afghanistan,SAS,National,2013,0.407215884759684,0.776617118681722,0.94919933294292,0.614958595805,0.997643800267248
AFG,Afghanistan,SAS,National,2015,0.389546492438868,0.763832800167063,0.94594213023852,0.643793036436733,0.997711034652769
AFG,Afghanistan,SAS,National,2018,0.354264889711385,0.732385176052737,0.937545484831982,0.66076382559514,
AFG,Afghanistan,SAS,National,2019,0.332538153123695,0.710781182564844,0.931422992077663,0.64543126541381,
AFG,Afghanistan,SAS,National,2020,0.361596003379814,0.739273040499562,0.939434397501307,0.669054333750821,
AFG,Afghanistan,SAS,National,2021,0.33911253069412,0.717513069002618,0.93336410807307,0.661385643737944,
AGO,Angola,SSA,National,1981,0.2585482,0.4657267,0.7023886,0.1232231,0.9379782
AGO,Angola,SSA,National,1984,0.2613909,0.4682631,0.7060805,0.1533094,0.9367989
AGO,Angola,SSA,National,1987,0.2623726,0.4696293,0.7070305,0.1691521,0.9393804
AGO,Angola,SSA,National,1990,0.2883105,0.505573,0.7402971,0.1860499,0.9448133
AGO,Angola,SSA,National,1993,0.4607425,0.6905744,0.8668025,0.3168035,0.9698343
AGO,Angola,SSA,National,1996,0.3825956,0.6202716,0.8182731,0.2942417,0.9555825
AGO,Angola,SSA,National,1999,0.3636245,0.5965953,0.8053792,0.286464,0.9497654
AGO,Angola,SSA,National,2002,0.3664568,0.5987273,0.8084493,0.3173363,0.9568468
AGO,Angola,SSA,National,2005,0.3725767,0.6109383,0.8186833,0.3642511,0.9705016
AGO,Angola,SSA,National,2008,0.3323631,0.5859231,0.8130862,0.35144,0.9829981
AGO,Angola,SSA,National,2010,0.3609703,0.6186586,0.8354461,0.4153625,0.9879742
AGO,Angola,SSA,National,2011,0.3703079,0.6242101,0.8380389,0.457073,0.988632
AGO,Angola,SSA,National,2012,0.3678134,0.6128781,0.8295714,0.4648914,0.9879348
AGO,Angola,SSA,National,2013,0.3718691,0.613479,0.8270869,0.5008563,0.9882975
AGO,Angola,SSA,National,2015,0.3991045,0.6337068,0.8377905,0.5535322,0.9893631
AGO,Angola,SSA,National,2018,0.4908743,0.7115392,0.881972,0.6732996,
AGO,Angola,SSA,National,2019,0.5139554,0.7279304,0.8912954,0.692933,
AGO,Angola,SSA,National,2020,0.5300897,0.7399611,0.8972446,0.7023659,
AGO,Angola,SSA,National,2021,0.5173574,0.7311105,0.8927758,0.7009718,
ALB,Albania,ECA,National,1981,0.004645278,0.07623522,0.375578,0.0005741581,0.9432813
ALB,Albania,ECA,National,1984,0.00534846,0.08790304,0.3991129,0.0005741581,0.9478774
ALB,Albania,ECA,National,1987,0.005067833,0.08494718,0.3945011,0.0005741581,0.9512514
ALB,Albania,ECA,National,1990,0.009605859,0.1164763,0.4560711,0.001144284,0.961885
ALB,Albania,ECA,National,1993,0.04572057,0.2711345,0.6937318,0.008623258,0.9886588
