year,LIC,LMIC,UMIC
2025,1.9,3.2,5.5
2024,1.9,3.2,5.5
2023,1.9,3.2,5.5
2022,1.9,3.2,5.5
2021,1.9,3.2,5.5
2020,1.9,3.2,5.5
2019,1.9,3.2,5.5
2018,1.9,3.2,5.5
2017,1.9,3.2,5.5
2016,1.9,3.2,5.5
2015,1.9,3.2,5.5
2014,1.9,3.2,5.5
2013,1.9,3.2,5.5
2012,1.9,3.2,5.5
2011,1.9,3.2,5.5
2010,1.9,3.2,5.5
2009,1.9,3.2,5.5
2008,1.9,3.2,5.5
2007,1.9,3.2,5.5
2006,1.9,3.2,5.5
2005,1.9,3.2,5.5
2004,1.9,3.2,5.5
2003,1.9,3.2,5.5
2002,1.9,3.2,5.5
2001,1.9,3.2,5.5
2000,1.9,3.2,5.5
1999,1.9,3.2,5.5
1998,1.9,3.2,5.5
1997,1.9,3.2,5.5
1996,1.9,3.2,5.5
1995,1.9,3.2,5.5
1994,1.9,3.2,5.5
1993,1.9,3.2,5.5
1992,1.9,3.2,5.5
1991,1.9,3.2,5.5
1990,1.9,3.2,5.5
1989,1.9,3.2,5.5
1988,1.9,3.2,5.5
1987,1.9,3.2,5.5
1986,1.9,3.2,5.5
1985,1.9,3.2,5.5
1984,1.9,3.2,5.5
1983,1.9,3.2,5.5
1982,1.9,3.2,5.5
1981,1.9,3.2,5.5
